epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,506.1,0.64409,0.33778,0.89942,1,0.98617,0.99489,0.89622,0.49237,0.25362,0.8377,0.000322778,0.000322778,0.000322778
64,513.735,0.62779,0.32605,0.89471,1,0.98911,0.99495,0.90034,0.48728,0.25519,0.83666,0.000308412,0.000308412,0.000308412
65,521.523,0.65427,0.32809,0.90527,0.99395,0.9866,0.99455,0.91193,0.44466,0.24969,0.83132,0.000294239,0.000294239,0.000294239
66,528.881,0.62804,0.31704,0.89348,0.99558,0.98928,0.99484,0.91645,0.41649,0.23926,0.82635,0.000280275,0.000280275,0.000280275
67,536.872,0.64594,0.32356,0.90064,0.99462,0.99188,0.99495,0.90168,0.48203,0.25261,0.83279,0.000266532,0.000266532,0.000266532
68,544.405,0.63086,0.31562,0.89463,0.99913,0.99196,0.995,0.92281,0.40639,0.23046,0.82502,0.000253024,0.000253024,0.000253024
69,552.44,0.62727,0.31079,0.88946,0.99884,0.99196,0.995,0.93021,0.38949,0.23205,0.82123,0.000239766,0.000239766,0.000239766
70,560.064,0.64238,0.31779,0.8926,0.99953,0.99196,0.995,0.89828,0.49727,0.24736,0.83309,0.000226769,0.000226769,0.000226769
71,567.398,0.63717,0.31806,0.89752,0.99996,0.98928,0.99495,0.92336,0.42843,0.24167,0.8275,0.000214046,0.000214046,0.000214046
72,574.706,0.60307,0.30784,0.88458,0.99443,0.98928,0.99461,0.92543,0.41141,0.23729,0.82466,0.000201611,0.000201611,0.000201611
73,583.231,0.62321,0.30889,0.89347,0.99428,0.9866,0.99399,0.91532,0.41955,0.23209,0.82548,0.000189475,0.000189475,0.000189475
74,590.807,0.62557,0.31013,0.89459,0.99441,0.98928,0.99474,0.92268,0.40809,0.22743,0.82309,0.000177651,0.000177651,0.000177651
75,598.34,0.59503,0.29763,0.88265,0.99195,0.99165,0.99492,0.93097,0.39457,0.22141,0.82165,0.000166149,0.000166149,0.000166149
76,606.046,0.6138,0.30447,0.88917,0.99743,0.9866,0.99492,0.89986,0.4843,0.23804,0.83229,0.000154982,0.000154982,0.000154982
77,613.681,0.61833,0.30702,0.88785,0.99384,0.99196,0.99495,0.92657,0.39631,0.21838,0.82192,0.000144161,0.000144161,0.000144161
