epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,440.795,0.43034,0.29249,0.85696,0.9888,0.99196,0.99457,0.92825,0.35683,0.23797,0.82262,0.00142635,0.00142635,0.00142635
56,447.998,0.42311,0.28922,0.84906,0.99187,0.9866,0.99452,0.94745,0.31443,0.22692,0.81347,0.00140733,0.00140733,0.00140733
57,455.135,0.43436,0.29236,0.85444,0.9934,0.9866,0.99473,0.95018,0.32107,0.22621,0.81482,0.00138813,0.00138813,0.00138813
58,462.306,0.4266,0.28984,0.85002,0.98644,0.99464,0.99465,0.95182,0.31383,0.22291,0.81474,0.00136876,0.00136876,0.00136876
59,469.862,0.42109,0.28941,0.84852,0.9893,0.99119,0.99459,0.94802,0.32459,0.22677,0.81626,0.00134922,0.00134922,0.00134922
60,477.029,0.41157,0.28878,0.84319,0.99129,0.99196,0.99459,0.95381,0.30905,0.22198,0.81475,0.00132954,0.00132954,0.00132954
61,484.041,0.41532,0.28403,0.85074,0.99319,0.98928,0.99481,0.95174,0.30274,0.22546,0.81292,0.00130971,0.00130971,0.00130971
62,491.17,0.4098,0.27627,0.84069,0.99188,0.98227,0.99397,0.95483,0.30474,0.21655,0.81076,0.00128974,0.00128974,0.00128974
63,498.687,0.41757,0.28675,0.84698,0.9916,0.9866,0.99468,0.95552,0.31143,0.21814,0.81384,0.00126965,0.00126965,0.00126965
64,506.218,0.40345,0.27503,0.84053,0.99145,0.99464,0.99468,0.95243,0.31751,0.21585,0.81419,0.00124944,0.00124944,0.00124944
65,513.52,0.4068,0.28014,0.84605,0.99464,0.99412,0.99478,0.94986,0.30136,0.21287,0.81245,0.00122912,0.00122912,0.00122912
66,520.554,0.39946,0.26882,0.84839,0.9946,0.98719,0.9946,0.95089,0.30863,0.21435,0.81402,0.0012087,0.0012087,0.0012087
67,527.905,0.39575,0.26803,0.84639,0.99679,0.9866,0.99413,0.94929,0.31231,0.21834,0.8176,0.00118819,0.00118819,0.00118819
68,535.143,0.40183,0.26995,0.83994,0.99462,0.99154,0.99442,0.95951,0.29435,0.20612,0.81053,0.0011676,0.0011676,0.0011676
69,542.75,0.40134,0.27832,0.84548,0.98883,0.98928,0.99415,0.96496,0.28486,0.21392,0.80969,0.00114694,0.00114694,0.00114694
70,551.255,0.38801,0.27345,0.84091,0.99115,0.9866,0.99407,0.94676,0.30389,0.22183,0.81373,0.00112621,0.00112621,0.00112621
71,563.592,0.40023,0.27556,0.84218,0.99145,0.98928,0.99369,0.95759,0.29082,0.21,0.81144,0.00110542,0.00110542,0.00110542
72,575.553,0.38742,0.26409,0.84203,0.99239,0.98928,0.99402,0.9627,0.27995,0.20166,0.80825,0.00108459,0.00108459,0.00108459
73,587.791,0.39036,0.26286,0.84606,0.99409,0.99464,0.99418,0.95871,0.30182,0.20904,0.81238,0.00106373,0.00106373,0.00106373
74,600.131,0.40003,0.26919,0.84868,0.99435,0.99464,0.99366,0.96292,0.29822,0.20126,0.81415,0.00104283,0.00104283,0.00104283
75,612.446,0.37926,0.25819,0.83283,0.99195,0.99147,0.9947,0.95457,0.30041,0.20241,0.81463,0.00102192,0.00102192,0.00102192
76,624.617,0.39262,0.26502,0.84151,0.99114,0.99464,0.99478,0.95389,0.31736,0.21345,0.81339,0.001001,0.001001,0.001001
77,636.956,0.39047,0.26713,0.83424,0.99458,0.99196,0.99476,0.95982,0.28881,0.19994,0.8102,0.000980079,0.000980079,0.000980079
78,649.125,0.38276,0.26209,0.83791,0.99413,0.99464,0.99478,0.96171,0.2842,0.19841,0.80905,0.000959166,0.000959166,0.000959166
79,661.033,0.37735,0.26167,0.83535,0.99197,0.9938,0.9944,0.96114,0.27819,0.19845,0.80673,0.000938272,0.000938272,0.000938272
80,673.283,0.38636,0.26154,0.84318,0.99462,0.99187,0.99481,0.96473,0.2799,0.20277,0.8087,0.000917406,0.000917406,0.000917406
81,685.074,0.37126,0.25508,0.83405,0.99438,0.99196,0.99462,0.95699,0.30121,0.20574,0.81096,0.000896576,0.000896576,0.000896576
82,697.421,0.37597,0.25773,0.83518,0.98902,0.99196,0.99465,0.96474,0.2696,0.19055,0.8069,0.000875792,0.000875792,0.000875792
83,709.699,0.38529,0.25443,0.82584,0.99173,0.99464,0.99484,0.96139,0.28122,0.19568,0.80646,0.000855063,0.000855063,0.000855063
84,721.811,0.37678,0.25382,0.83382,0.99172,0.99464,0.99495,0.95939,0.28693,0.19485,0.80861,0.000834398,0.000834398,0.000834398
85,734.157,0.37664,0.25646,0.83602,0.99197,0.99418,0.99489,0.96012,0.2907,0.19982,0.81034,0.000813806,0.000813806,0.000813806
86,746.73,0.38293,0.25824,0.83882,0.99464,0.99439,0.99492,0.96521,0.27564,0.19527,0.80688,0.000793296,0.000793296,0.000793296
